algorithm_combination,cooling_delay,no_delay,queue_time_delay
edf_job+fastest_worker_fair,-0.8625394743471144,0.10833912764417881,0.1852236136163463
edf_job+least_loaded_fair,0.6972382022285807,-0.6018072563931572,1.1022392997651136
edf_job+network_optimal_fair,-1.1828227493473722,0.7987050444628268,-1.328845773432408
edf_job+random_worker,7.711219986798737,-2.145155087987244,1.2086429935771839
edf_job+rr_worker,-5.908292005320582,1.9112962849057622,-1.5777856915079875
rr_job+fastest_worker_fair,-1.5028174766596532,-0.7998858818413934,2.7297158991436232
rr_job+least_loaded_fair,-0.7364188509798847,-0.703602623427128,2.096356441933588
rr_job+network_optimal_fair,-1.3805850284513204,1.2784887907615758,-2.394001439504541
rr_job+random_worker,8.254151839751083,-2.158062720815829,0.9574482237089059
rr_job+rr_worker,-5.987820134452596,2.3093374960710475,-2.505474012044767
urgency_job+fastest_worker_fair,-0.5242535494929197,-0.9932994646437283,2.691221895767194
urgency_job+least_loaded_fair,0.02354951411787397,1.2193429742999935,-2.9809172838608324
urgency_job+network_optimal_fair,-2.8972908115249996,0.8153391813524555,-0.4768869766404958
urgency_job+random_worker,7.8532316377742974,-2.2930253256233786,1.49473010799367
urgency_job+rr_worker,-4.845482673308544,1.3723179492716713,-0.8188081046533818
