worker_algorithm,workload_intensity,avg_stability_chain,median_stability_chain,std_stability_chain,max_stability_chain,min_stability_chain,total_chains,degradation_events,degradation_rate,thermal_efficiency
fastest_worker_fair,heavy,39.096296296296295,14.0,62.25499729076171,461,0,135,149,2.248038624019312,17.391292070594083
fastest_worker_fair,light,3.9594202898550726,3.0,4.4693503651218744,26,0,345,494,16.175507531106746,0.24477873613800388
fastest_worker_fair,moderate,28.497354497354497,9.0,51.14036008021748,330,0,189,215,3.4116153602031103,8.353038513596653
least_loaded_fair,light,2.707920792079208,2.0,3.2995731182898957,17,0,404,605,20.44609665427509,0.13244194419441946
least_loaded_fair,moderate,16.812765957446807,4.0,59.290382095104185,837,0,235,352,4.209015903383953,3.9944648210831715
network_optimal_fair,heavy,54.972727272727276,25.5,83.3537238884486,665,0,110,118,1.7069289743960654,32.205632511556246
network_optimal_fair,light,2.8669950738916254,2.0,3.3821673721607874,19,0,406,588,20.16460905349794,0.1421795516236051
network_optimal_fair,moderate,29.56149732620321,11.0,46.624791664370576,280,0,187,216,3.203321963517722,9.22838779956427
random_worker,heavy,16.0,16.0,,16,16,1,1,0.007241653993772178,2209.44
random_worker,light,0.5823754789272031,0.0,0.962799276109525,5,0,522,983,34.26280934123388,0.01699730670439619
random_worker,moderate,12.145251396648044,8.0,13.1968923291623,92,0,537,629,6.981906981906983,1.739532111802897
rr_worker,light,1.2486910994764397,1.0,1.6955819892540667,14,0,382,646,21.868652674339877,0.05709958990485144
rr_worker,moderate,50.78125,35.5,49.16659804387067,279,0,160,169,1.8946188340807173,26.802884615384617
