worker_algorithm,workload_intensity,total_transitions,degradation_rate,recovery_rate,stability_rate,degradation_count,recovery_count,stability_count
fastest_worker_fair,heavy,6628,2.248038624019312,2.2178636089318045,95.53409776704889,149,147,6332
fastest_worker_fair,light,3054,16.175507531106746,15.586116568434841,68.23837590045841,494,476,2084
fastest_worker_fair,moderate,6302,3.4116153602031103,3.4433513170422083,93.14503332275467,215,217,5870
least_loaded_fair,heavy,13890,0.0,0.0,100.0,0,0,13890
least_loaded_fair,light,2959,20.44609665427509,19.90537343697195,59.648529908752955,605,589,1765
least_loaded_fair,moderate,8363,4.209015903383953,3.8742078201602297,91.91677627645582,352,324,7687
network_optimal_fair,heavy,6913,1.7069289743960654,1.6924634746130478,96.60060755099089,118,117,6678
network_optimal_fair,light,2916,20.16460905349794,18.964334705075444,60.871056241426615,588,553,1775
network_optimal_fair,moderate,6743,3.203321963517722,3.069850215037817,93.72682782144446,216,207,6320
random_worker,heavy,13809,0.007241653993772178,0.014483307987544356,99.97827503801868,1,2,13806
random_worker,light,2869,34.26280934123388,31.369815266643432,34.36737539212269,983,900,986
random_worker,moderate,9009,6.981906981906983,6.948606948606948,86.06948606948606,629,626,7754
rr_worker,heavy,14064,0.0,0.0,100.0,0,0,14064
rr_worker,light,2954,21.868652674339877,20.98849018280298,57.14285714285714,646,620,1688
rr_worker,moderate,8920,1.8946188340807173,1.8946188340807173,96.21076233183857,169,169,8582
