algorithm_combination,job_algorithm,worker_algorithm,workload_intensity,total_transitions,degradation_rate,recovery_rate,stability_rate
edf_job+fastest_worker_fair,edf_job,fastest_worker_fair,heavy,2487,1.8094089264173705,1.7691998391636508,96.42139123441898
edf_job+fastest_worker_fair,edf_job,fastest_worker_fair,light,1013,16.683119447186577,16.683119447186577,66.63376110562686
edf_job+fastest_worker_fair,edf_job,fastest_worker_fair,moderate,2197,3.641329085116067,3.686845698680018,92.67182521620391
edf_job+least_loaded_fair,edf_job,least_loaded_fair,heavy,4709,0.0,0.0,100.0
edf_job+least_loaded_fair,edf_job,least_loaded_fair,light,979,20.93973442288049,20.224719101123593,58.83554647599591
edf_job+least_loaded_fair,edf_job,least_loaded_fair,moderate,2756,4.317851959361393,3.991291727140784,91.69085631349783
edf_job+network_optimal_fair,edf_job,network_optimal_fair,heavy,1837,2.231899836690256,2.231899836690256,95.5362003266195
edf_job+network_optimal_fair,edf_job,network_optimal_fair,light,958,21.39874739039666,19.937369519832984,58.66388308977035
edf_job+network_optimal_fair,edf_job,network_optimal_fair,moderate,2223,3.508771929824561,3.418803418803419,93.07242465137202
edf_job+random_worker,edf_job,random_worker,heavy,4416,0.022644927536231884,0.04528985507246377,99.93206521739131
edf_job+random_worker,edf_job,random_worker,light,945,34.70899470899471,31.005291005291006,34.285714285714285
edf_job+random_worker,edf_job,random_worker,moderate,2979,6.7807989258140315,6.713662302786171,86.5055387713998
edf_job+rr_worker,edf_job,rr_worker,heavy,4647,0.0,0.0,100.0
edf_job+rr_worker,edf_job,rr_worker,light,982,22.5050916496945,21.89409368635438,55.60081466395111
edf_job+rr_worker,edf_job,rr_worker,moderate,2917,1.7826534110387384,1.7826534110387384,96.43469317792253
rr_job+fastest_worker_fair,rr_job,fastest_worker_fair,heavy,1852,2.699784017278618,2.6457883369330455,94.65442764578835
rr_job+fastest_worker_fair,rr_job,fastest_worker_fair,light,1010,15.148514851485148,14.356435643564355,70.49504950495049
rr_job+fastest_worker_fair,rr_job,fastest_worker_fair,moderate,2047,3.224230581338544,3.224230581338544,93.55153883732291
rr_job+least_loaded_fair,rr_job,least_loaded_fair,heavy,4456,0.0,0.0,100.0
rr_job+least_loaded_fair,rr_job,least_loaded_fair,light,971,21.318228630278064,20.59732234809475,58.084449021627194
rr_job+least_loaded_fair,rr_job,least_loaded_fair,moderate,2828,3.9603960396039604,3.7128712871287126,92.32673267326733
rr_job+network_optimal_fair,rr_job,network_optimal_fair,heavy,2684,1.1922503725782414,1.2667660208643814,97.54098360655738
rr_job+network_optimal_fair,rr_job,network_optimal_fair,light,1012,19.268774703557312,18.181818181818183,62.549407114624515
rr_job+network_optimal_fair,rr_job,network_optimal_fair,moderate,2275,3.208791208791209,3.296703296703297,93.4945054945055
rr_job+random_worker,rr_job,random_worker,heavy,4641,0.0,0.0,100.0
rr_job+random_worker,rr_job,random_worker,light,973,34.224049331963,30.935251798561154,34.84069886947585
rr_job+random_worker,rr_job,random_worker,moderate,3022,7.081403044341496,7.081403044341496,85.83719391131702
rr_job+rr_worker,rr_job,rr_worker,heavy,4664,0.0,0.0,100.0
rr_job+rr_worker,rr_job,rr_worker,light,978,20.858895705521473,20.245398773006134,58.895705521472394
rr_job+rr_worker,rr_job,rr_worker,moderate,3022,1.786896095301125,1.786896095301125,96.42620780939775
urgency_job+fastest_worker_fair,urgency_job,fastest_worker_fair,heavy,2289,2.3591087811271296,2.3591087811271296,95.28178243774575
urgency_job+fastest_worker_fair,urgency_job,fastest_worker_fair,light,1031,16.682832201745878,15.71290009699321,67.60426770126091
urgency_job+fastest_worker_fair,urgency_job,fastest_worker_fair,moderate,2058,3.3527696793002915,3.4013605442176873,93.24586977648202
urgency_job+least_loaded_fair,urgency_job,least_loaded_fair,heavy,4725,0.0,0.0,100.0
urgency_job+least_loaded_fair,urgency_job,least_loaded_fair,light,1009,19.127849355797817,18.929633300297326,61.94251734390485
urgency_job+least_loaded_fair,urgency_job,least_loaded_fair,moderate,2779,4.354084202950702,3.922274199352285,91.72364159769701
urgency_job+network_optimal_fair,urgency_job,network_optimal_fair,heavy,2392,1.8812709030100336,1.7558528428093645,96.3628762541806
urgency_job+network_optimal_fair,urgency_job,network_optimal_fair,light,946,19.873150105708245,18.816067653276956,61.31078224101479
urgency_job+network_optimal_fair,urgency_job,network_optimal_fair,moderate,2245,2.89532293986637,2.494432071269488,94.61024498886414
urgency_job+random_worker,urgency_job,random_worker,heavy,4752,0.0,0.0,100.0
urgency_job+random_worker,urgency_job,random_worker,light,951,33.85909568874869,32.17665615141956,33.964248159831754
urgency_job+random_worker,urgency_job,random_worker,moderate,3008,7.081117021276596,7.047872340425531,85.87101063829788
urgency_job+rr_worker,urgency_job,rr_worker,heavy,4753,0.0,0.0,100.0
urgency_job+rr_worker,urgency_job,rr_worker,light,994,22.23340040241449,20.824949698189137,56.941649899396374
urgency_job+rr_worker,urgency_job,rr_worker,moderate,2981,2.1133847702113386,2.1133847702113386,95.77323045957732
